precio,area,habitaciones,banos,latitud,longitud,precio_m2,ciudad,departamento,tipo_propiedad,categoria_tamano,categoria_precio
630000000.0,329.0,4.0,3.0,3.383,-76.516,1914893.6170212766,Cali,Valle Del Cauca,Casa,Muy Grande,Premium
590000000.0,383.0,4.0,3.0,4.621,-74.081,1540469.9738903395,Bogotá D.C,Cundinamarca,Casa,Muy Grande,Alta
150000000.0,85.0,3.0,1.0,3.44,-76.506,1764705.8823529412,Cali,Valle Del Cauca,Casa,Mediana,Media
160000000.0,98.0,3.0,2.0,7.92,-72.499,1632653.0612244897,Desconocida,Norte De Santander,Casa,Mediana,Media
125000000.0,96.0,4.0,2.0,3.432,-76.465,1302083.3333333333,Cali,Valle Del Cauca,Casa,Mediana,Media
115000000.0,96.0,4.0,2.0,3.432,-76.465,1197916.6666666667,Cali,Valle Del Cauca,Casa,Mediana,Media
155000000.0,74.0,3.0,2.0,6.293,-75.598,2094594.5945945946,Medellín,Antioquia,Casa,Mediana,Media
175000000.0,63.0,3.0,2.0,4.753,-74.112,2777777.777777778,Bogotá D.C,Cundinamarca,Casa,Mediana,Media
190000000.0,99.0,4.0,2.0,4.748,-74.111,1919191.9191919193,Bogotá D.C,Cundinamarca,Casa,Mediana,Media
320000000.0,73.0,3.0,2.0,4.739,-74.062,4383561.643835616,Bogotá D.C,Cundinamarca,Casa,Mediana,Alta
350000000.0,192.0,4.0,3.0,7.92,-72.487,1822916.6666666667,Desconocida,Norte De Santander,Casa,Muy Grande,Alta
330000000.0,200.0,3.0,3.0,7.907,-72.497,1650000.0,Desconocida,Norte De Santander,Casa,Muy Grande,Alta
145000000.0,70.0,3.0,3.0,7.9,-72.479,2071428.5714285714,Desconocida,Norte De Santander,Casa,Mediana,Media
120000000.0,70.0,3.0,3.0,7.905,-72.517,1714285.7142857143,Desconocida,Norte De Santander,Casa,Mediana,Media
375000000.0,230.0,4.0,3.0,3.472,-76.502,1630434.7826086956,Cali,Valle Del Cauca,Casa,Muy Grande,Alta
165000000.0,120.0,3.0,3.0,3.465,-76.492,1375000.0,Cali,Valle Del Cauca,Casa,Grande,Media
230000000.0,95.0,3.0,3.0,3.48,-76.497,2421052.6315789474,Cali,Valle Del Cauca,Casa,Mediana,Media
520000000.0,180.0,3.0,3.0,3.455,-76.533,2888888.888888889,Cali,Valle Del Cauca,Casa,Muy Grande,Alta
585000000.0,158.0,3.0,3.0,4.872,-74.069,3702531.64556962,Chía,Cundinamarca,Casa,Muy Grande,Alta
380000000.0,240.0,4.0,3.0,3.666,-76.191,1583333.3333333333,Jamundí,Valle Del Cauca,Casa,Muy Grande,Alta
2500000000.0,535.0,3.0,3.0,10.397,-75.554,4672897.196261683,Cartagena,Bolívar,Casa,Muy Grande,Premium
500000000.0,147.0,3.0,3.0,6.204,-75.576,3401360.544217687,Medellín,Antioquia,Casa,Grande,Alta
800000000.0,253.0,5.0,3.0,4.703,-74.057,3162055.3359683794,Bogotá D.C,Cundinamarca,Casa,Muy Grande,Premium
280000000.0,230.0,4.0,4.0,7.917,-72.486,1217391.3043478262,Desconocida,Norte De Santander,Casa,Muy Grande,Media
250000000.0,183.0,5.0,4.0,3.49,-76.499,1366120.218579235,Cali,Valle Del Cauca,Casa,Muy Grande,Media
1800000000.0,369.0,3.0,4.0,4.724,-74.024,4878048.780487805,Bogotá D.C,Cundinamarca,Casa,Muy Grande,Premium
1600000000.0,400.0,5.0,5.0,3.366,-76.531,4000000.0,Cali,Valle Del Cauca,Casa,Muy Grande,Premium
450000000.0,220.0,4.0,5.0,3.415,-76.542,2045454.5454545454,Cali,Valle Del Cauca,Casa,Muy Grande,Alta
900000000.0,420.0,8.0,5.0,3.468,-76.532,2142857.1428571427,Cali,Valle Del Cauca,Casa,Muy Grande,Premium
750000000.0,220.0,4.0,5.0,6.305,-75.555,3409090.909090909,Medellín,Antioquia,Casa,Muy Grande,Premium
580000000.0,200.0,6.0,6.0,3.396,-76.517,2900000.0,Cali,Valle Del Cauca,Casa,Muy Grande,Alta
98000000.0,230.0,3.0,2.0,10.76,-74.758,426086.95652173914,Desconocida,Atlántico,Lote,Muy Grande,Económica
920000000.0,385.0,4.0,4.0,4.646,-74.478,2389610.3896103897,La Mesa,Cundinamarca,Finca,Muy Grande,Premium
1175600000.0,167.0,2.0,1.0,4.731,-74.024,7039520.958083833,Bogotá D.C,Cundinamarca,Oficina,Muy Grande,Premium
270000000.0,60.0,1.0,2.0,3.344,-76.528,4500000.0,Cali,Valle Del Cauca,Apartamento,Mediana,Media
160000000.0,42.0,1.0,1.0,3.452,-76.551,3809523.8095238097,Cali,Valle Del Cauca,Apartamento,Pequeña,Media
240000000.0,50.0,2.0,1.0,4.728,-74.046,4800000.0,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Media
160000000.0,46.0,2.0,1.0,4.745,-74.03,3478260.8695652173,Bogotá D.C,Cundinamarca,Apartamento,Pequeña,Media
220000000.0,35.0,1.0,1.0,4.619,-74.082,6285714.285714285,Bogotá D.C,Cundinamarca,Apartamento,Pequeña,Media
180000000.0,31.0,1.0,1.0,4.634,-74.064,5806451.612903226,Bogotá D.C,Cundinamarca,Apartamento,Pequeña,Media
230000000.0,70.0,3.0,2.0,3.356,-76.518,3285714.285714286,Cali,Valle Del Cauca,Apartamento,Mediana,Media
165000000.0,62.0,3.0,2.0,3.357,-76.518,2661290.3225806453,Cali,Valle Del Cauca,Apartamento,Mediana,Media
250000000.0,75.0,3.0,2.0,3.364,-76.495,3333333.3333333335,Cali,Valle Del Cauca,Apartamento,Mediana,Media
170000000.0,60.0,2.0,2.0,3.373,-76.547,2833333.3333333335,Cali,Valle Del Cauca,Apartamento,Mediana,Media
217000000.0,65.0,3.0,2.0,6.34,-75.533,3338461.5384615385,Bello,Antioquia,Apartamento,Mediana,Media
510000000.0,92.0,3.0,2.0,6.163,-75.569,5543478.260869565,Envigado,Antioquia,Apartamento,Mediana,Alta
425000000.0,79.0,2.0,2.0,6.161,-75.576,5379746.835443038,Envigado,Antioquia,Apartamento,Mediana,Alta
300000000.0,96.0,2.0,2.0,10.443,-75.522,3125000.0,Cartagena,Bolívar,Apartamento,Mediana,Alta
550000000.0,74.0,1.0,2.0,4.727,-74.036,7432432.432432433,Bogotá D.C,Cundinamarca,Apartamento,Mediana,Alta
